Identifier / Formula,Name,rank 1,rank 2,rank 3,rank 4,rank 5,rank 6,rank 7,rank 8,rank 9,rank 10
m,mass (Q11423),Mass,Magnitude,Moment,Measure,Metric,Margin,Mean,Modulus,Momentum,Majorant
s,length of path (Q30337841),sin(x),signum,surface integral,spectral radius,singular value decomposition (SVD),Stokes' theorem,sphere equation,symmetric difference,separation of variables,singular matrix
a,acceleration (Q11376),Alpha (α),Anomalous Diffusion Coefficient (ADC),Average Value,Amplitude Modulation Index (AMI),Absolute Value Function (AVF),Action Variable (A),Atomic Number (a),Acceleration due to Gravity (ag),Acceptable Error Margin (AEM),Asymptotic Behavior Parameter (ABP)
v,velocity (Q11465),Euler's Totient Function,Vandermonde determinant,Volume,Velocity,Vector magnitude,Vector projection,Variance,Vectorspace,Valuation,Voronoi Diagram
t,time (Q11471),Time,Temperature,Tension,Tensor,Tangent,Torque,Transformation,Transition,Triangular Matrix,Topological Invariant
x,coordinate (Q12753000),Variable,Unknown,Parameter,Placeholder,Symbolic variable,Indeterminate,Generic variable,Algebraic variable,Abstract variable,Dummy variable
j,jerk (N/A),Jacobian,Julia set,Jensen's inequality,Jacobi matrix,Joule-Thomson coefficient,Josephson constant,Jacobi symbol,Jordan curve theorem,Jahn-Teller effect,Jensen's function
F,force (Q11402),Fibonacci,Fermat's Last Theorem,Euler's Identity,Fourier Transform,Factorial,Functional Equation,Finite Element Method,Fractal Dimension,Frobenius Series,Field Extension
u,vector (N/A),Euler's Number,Unit Step Function,Heaviside Step Function,Kronecker Delta,Uncertainty Principle (related to quantum mechanics),Unruh Temperature (related to quantum field theory),Ulam Spiral (mathematical concept),Utility Function,Unified Field Theory,Uhlenbeck Model
r,position (N/A),root,radius,residual,remainder,recursive,radial,rational,real_root,rank,resolvent
g,gravitational constant (Q18373),Gravity Constant,Gravitational Constant,Geometric Mean,Gaussian Function,Gamma Function,Gershgorin Circle Theorem,Gleason's Theorem,Gauss-Bonnet Formula,Gromov-Witten Invariant,Galois Group
omega,angular velocity (Q161635),Euler's Totient Function,Dürr-Harris Formula,Lagrange Multipliers,Riemann Zeta Function,Navier-Stokes Equations,Weyl's Law,Hadamard Matrices,Cayley-Klein Metric,Gauss Map,Dirichlet Beta Function
alpha,angular acceleration (Q186300),Alpha function,Dirichlet alpha,Chebyshev alpha,Alpha parameter,Euler's alpha,Cauchy-alpha distribution,Algebraic alpha,Asymptotic alpha,Alexandroff alpha,Aleph-1 (note: this one is related to ordinal numbers)
I,moment of inertia (Q165618),Identity,Imaginary Unit,Impulse Response Function,Infinite Series,Integrability Condition,Invariant Mass,Inner Product Space,Integral Transform,Isotropy Group,Indefinite Integral
L,angular momentum (N/A),Laplace,Lambda,Legendre,Lagrange,Lebesgue,Lorentz,Landau,Langmuir,Loewner,Liouville
E,electric field (N/A),Euler's Number,Energy,Electromagnetic Constant,Electric Field,Eccentricity,Elliptical Function,Electrostatic Potential,Einstein Field Equations,Euclidean Metric,Elementary Charge
tau,torque (Q48103),pi,sigma,lambda,mu,rho,epsilon,alpha,beta,gamma,kappa
k,constant (Q188248),w(k),f(k),g(k),h(k),s(k),t(k),p(k),m(k),n(k),u(k)
p,momentum (Q41273),Perimeter,Probability,Projection,Point Attractor,Potential Function,Planar Curvature,Pressure Gradient,Path Integral,Polar Angle,Parametric Representation
T,kinetic energy (Q46276),Temperature,Time,Torque,Tensor,Triangle,Trigonometric Function (e.g. Tangent),Trajectory,Topology,Thermoconductivity,Torsion
phi,angle (Q11352),Golden Ratio,"Euler's Totient Function is not a good fit, so let's replace it with",Fibonacci Sequence,D'Alembert's Constant,Wallis' Product,Catalan's Constant,Eta Constant,Plastic Number,Veblen Prime,Sylvester's Sequence
U,potential energy (N/A),Uncertainty Principle,Unitary,Universal Gravitation Constant,Unruh Temperature,Unit Step Function,Ulam Sequence,Uniform Continuation Theorem,Uhlenbeck Oscillator,Ursell Expansion,Urysohn's Lemma
z,coordinate (Q12753000),Z-transform,Z-score,Zimmermann-Storer formula,Zagier's conjecture,Zipf-Mandelbrot law,Zeeman-Bott formula,Zhang-Yau inequality,Zvonkin's problem,Zakharov-Shabat equation,Zaslavsky-Strelitzki map
theta,angle (Q11352),Cosine Law,Euler's Totient Function,Azimuthal Angle,Sine Rule,Euler Number,D'Alembertian Operator,Beta Function,Riemann Zeta Function,Inclination Angle,Helical Angle
P,momentum (Q41273),Projection,Partial derivative,Permutation,Point at infinity,Principal argument,Planck constant,Pascal's law,Pure function,Plane of incidence,Periodic table
c,speed of light (Q2111),Einstein's Constant,Speed of Light,Planck's Constant,Coulomb's Constant,Gravitational Constant,Euler's Number,Imaginary Unit,Hyperbolic Cosine,Catalan's Constant,Riemann Zeta Function
y,coordinate (Q12753000),Pythagorean Theorem,Quadratic Formula,Fibonacci Sequence,Geometric Series,Arithmetic Progression,Linear Function,Logistic Growth,Sine Wave Equation,Trigonometric Identity,Exponential Decay
gamma,lorentz factor (Q599404),Euler's Gamma Function,Lorentz Factor,Dirichlet Beta Function,Weierstrass Epsilon,Gamma Distribution,Hadamard Product,Kronecker Delta,Legendre Symbol,Wallis' Product,Jacobi Theta Function
mu,distance (Q126017),Mu (momentum),Cosmological Constant,Reduced Mass,Chemical Potential,Magnetic Permeability,Surface Tension,Nuclear Magnetic Moment,Rabi Frequency,Hall Coefficient,Dipole Moment
A,gauge (Q2330873),Area,Aspect Ratio,Angular Velocity,Acceleration,Action,Arithmetic Mean,Algebraic Accumulator,Axial Angle,Absolute Value,Amplitude
G,Gravitational Constant (N/A),Gaussian Distribution,Gamma Function,Gradient Descent,Green's Theorem,Gauss-Legendre Algorithm,Group Homomorphism,Galois Group,Gram-Schmidt Process,Generalized Riemann Hypothesis,Geodesic Equation
R,radius (Q173817),Radius,Residue,Relativistic Energy,Rotational Kinetic Energy,Rankine,Reynolds Number,Ricci Scalar,Ramification,Rayleigh Length,Riemann Surface
q,coordinate (N/A),Quaternion,Q-function (mathematics),Quadratic equation,Quotient rule,Quadrature formula,Quadrature rule,Q-derivative,Quadrature error,Quadruple integral,Quadrature methods
B,magnetic field (N/A),Beta Function,Binomial Distribution,Bernoulli Number,Bohr Radius,Brillouin Zone,Boltzmann Constant,Beatty Sequence,Bessel Function,Bruns Constant,Buridan's Principle
Delta,changes (N/A),Dirac Delta Function,Change of Variables Formula,Variation (calculus),Kronecker Delta,Laplace Operator,Fourier Transform,Delta-Epsilon Definition,Wronskian,Determinant Expansion,Covariant Derivative
V,potential (Q12559031),Vector,Velocity,Voltage,Vandermonde Matrix,Volume,Voronoi Diagram,Visibility Graph,Van der Waals Force,Voigt Tensor,Variance
b,constant (Q188248),Beta function,Bernoulli number,Bessel polynomial,Binary operation,Base case,Branching process,Brauer group,Brascamp-Lieb inequality,Boltzmann constant,Boolean algebra
sigma,stress (Q206175),Sigma function,Standard deviation,Summation notation,Stress tensor component,Strain tensor component,Surface tension coefficient,Surface energy density,Stress-energy tensor,Variance estimator,Summation operator
J,impulse (N/A),Jacobian,Jensen-Shannon Divergence,Jordan Normal Form,Julia Set,Jacobi Matrix,Josephus Problem,Janet Basis,Joint Distribution,Jiang's Formula,Jacobi Elliptic Function
